doc_id,title,report_type,report_date,source_url,verified,notes
S/2010/571,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2010-11-05,https://documents.un.org/doc/UNDOC/GEN/N10/348/40/PDF/N1034840.PDF,true,"First PoE report ever; report dated 12 May 2010 but circulated 5 Nov 2010 (delayed 4 months). NCNK mirror: https://www.ncnk.org/resources/publications/panel-experts-2010-report-unscr-1874.pdf"
[no public symbol],Report of the Panel of Experts established pursuant to resolution 1874 (2009) — 2011 annual report,final,2011-05-12,,false,"NEVER OFFICIALLY PUBLISHED. China refused to sign; blocked from release. Report dated May 2011. Only available as leaked copy at NCNK: https://www.ncnk.org/sites/default/files/content/resources/publications/UN-Panel-of-Experts-Report-May-2011.pdf"
S/2012/422,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2012-06-14,https://documents.un.org/doc/UNDOC/GEN/N12/376/10/PDF/N1237610.PDF,true,"NCNK mirror: https://www.ncnk.org/resources/publications/panel-experts-may-2012-report-unscr-1874.pdf. SecurityCouncilReport mirror: https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/NKorea%20S%202012%20422.pdf"
S/2013/337,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2013-06-11,https://documents.un.org/doc/UNDOC/GEN/N13/331/74/PDF/N1333174.PDF,true,""
S/2014/147,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2014-03-06,https://documents.un.org/doc/UNDOC/GEN/N14/232/27/PDF/N1423227.PDF,true,""
S/2015/131,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2015-02-23,https://documents.un.org/doc/UNDOC/GEN/N15/015/99/PDF/N1501599.PDF,true,"NCNK mirror: https://www.ncnk.org/sites/default/files/content/resources/publications/DPRK_Panel_of_Experts_2015.pdf"
S/2016/157,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2016-02-24,https://documents.un.org/doc/UNDOC/GEN/N16/010/96/PDF/N1601096.PDF,true,"Reissued for technical reasons on 18 April 2016"
S/2017/150,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2017-02-27,https://documents.un.org/doc/UNDOC/GEN/N17/024/94/PDF/N1702494.PDF,true,""
S/2017/742,Midterm report of the Panel of Experts established pursuant to resolution 1874 (2009),midterm,2017-09-05,https://documents.un.org/doc/UNDOC/GEN/N17/246/50/PDF/N1724650.PDF,true,"First publicly released midterm report. Also at NCNK: https://ncnk.org/sites/default/files/UN%20DPRK%20POE%20Midterm%20Report%202017.pdf"
S/2018/171,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2018-03-05,https://documents.un.org/doc/UNDOC/GEN/N18/029/28/PDF/N1802928.PDF,true,"NCNK mirror: https://www.ncnk.org/sites/default/files/content/resources/publications/un_poe_march2018_final_report.pdf. Danish Parliament mirror: https://www.ft.dk/samling/20171/almdel/FOU/bilag/75/1869425.pdf"
[no public symbol],Midterm report of the Panel of Experts established pursuant to resolution 1874 (2009) — 2018 midterm,midterm,2018-09,,false,"NOT PUBLICLY RELEASED. US blocked publication citing Russian annexation of Crimea / geopolitical tensions. Report was submitted internally but never issued as a public Security Council document."
S/2019/171,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2019-03-12,https://documents.un.org/doc/UNDOC/GEN/N19/028/82/PDF/N1902882.PDF,true,""
S/2019/691,Midterm report of the Panel of Experts established pursuant to resolution 1874 (2009),midterm,2019-08-30,https://documents.un.org/doc/UNDOC/GEN/N19/243/04/PDF/N1924304.PDF,true,"NCNK mirror: https://www.ncnk.org/sites/default/files/UN_POE_August2019.pdf"
S/2020/151,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2020-03-02,https://documents.un.org/doc/UNDOC/GEN/N20/060/67/PDF/N2006067.PDF,true,"Also at: https://s.wsj.net/public/resources/documents/unpanelofexperts.pdf"
S/2020/840,Midterm report of the Panel of Experts established pursuant to resolution 1874 (2009),midterm,2020-08-28,https://documents.un.org/doc/UNDOC/GEN/N20/204/67/PDF/N2020467.PDF,true,""
S/2021/211,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2021-03-04,https://documents.un.org/doc/UNDOC/GEN/N21/034/37/PDF/N2103437.PDF,true,""
S/2021/777,Midterm report of the Panel of Experts established pursuant to resolution 1874 (2009),midterm,2021-09-08,https://documents.un.org/doc/UNDOC/GEN/N21/220/95/PDF/N2122095.PDF,true,""
S/2022/132,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2022-03-01,https://documents.un.org/doc/UNDOC/GEN/N22/252/09/PDF/N2225209.PDF,true,""
S/2022/668,Midterm report of the Panel of Experts established pursuant to resolution 1874 (2009),midterm,2022-09-07,https://documents.un.org/doc/UNDOC/GEN/N22/608/53/PDF/N2260853.PDF,true,""
S/2023/171,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2023-03-07,https://documents.un.org/doc/UNDOC/GEN/N23/037/94/PDF/N2303794.PDF,true,""
S/2023/656,Midterm report of the Panel of Experts established pursuant to resolution 1874 (2009),midterm,2023-09-12,https://documents.un.org/doc/UNDOC/GEN/N23/238/69/PDF/N2323869.PDF,true,""
S/2024/215,Report of the Panel of Experts established pursuant to resolution 1874 (2009),final,2024-03-07,https://documents.un.org/doc/UNDOC/GEN/N24/032/68/PDF/N2403268.PDF,true,"LAST REPORT EVER. Russia vetoed renewal of Panel mandate on 28 March 2024."
